Date,SKU,Category,Subcategory,Forecast_Units,Forecast_Revenue,Promotion,is_holiday
2026-01-02,SKU007,Home Decor,Cabinet,22.44,114760.18,0,0
2026-01-02,SKU008,Kitchen,Rug,15.03,147934.88,0,0
2026-01-02,SKU009,Lighting,Organizer,10.52,24584.08,0,0
2026-01-02,SKU010,Storage,Sofa,16.77,11126.22,0,0
2026-01-02,SKU011,Furniture,Chair,2.91,4203.67,0,0
2026-01-02,SKU012,Home Decor,Table,23.81,209036.8,0,0
2026-01-02,SKU013,Kitchen,Cushion,13.0,74851.14,0,0
2026-01-02,SKU014,Lighting,Cookware,18.58,42190.54,0,0
2026-01-02,SKU015,Storage,Lamp,4.03,25034.84,0,0
2026-01-02,SKU016,Furniture,Shelf,13.03,28233.66,0,0
2026-01-02,SKU017,Home Decor,Cabinet,13.45,114019.95,0,0
2026-01-02,SKU018,Kitchen,Rug,23.03,128401.69,0,0
2026-01-02,SKU019,Lighting,Organizer,15.64,75382.45,0,0
2026-01-02,SKU020,Storage,Sofa,12.99,50629.04,0,0
2026-01-02,SKU021,Furniture,Chair,7.98,61536.01,0,0
2026-01-02,SKU022,Home Decor,Table,9.64,44315.37,0,0
2026-01-02,SKU023,Kitchen,Cushion,14.83,21010.25,0,0
2026-01-02,SKU024,Lighting,Cookware,11.78,20837.29,0,0
2026-01-02,SKU025,Storage,Lamp,2.91,33633.81,0,0
2026-01-02,SKU026,Furniture,Shelf,20.97,229402.15,0,0
2026-01-02,SKU027,Home Decor,Cabinet,23.59,200906.59,0,0
2026-01-02,SKU028,Kitchen,Rug,4.56,15887.45,0,0
2026-01-02,SKU029,Lighting,Organizer,15.1,175801.0,0,0
2026-01-02,SKU030,Storage,Sofa,4.58,43205.48,0,0
2026-01-02,SKU031,Furniture,Chair,17.69,154184.8,0,0
2026-01-02,SKU032,Home Decor,Table,8.52,47819.27,0,0
2026-01-02,SKU033,Kitchen,Cushion,17.21,61233.18,0,0
2026-01-02,SKU034,Lighting,Cookware,18.52,28115.95,0,0
2026-01-02,SKU035,Storage,Lamp,19.96,216968.99,0,0
2026-01-02,SKU036,Furniture,Shelf,4.69,26672.03,0,0
2026-01-02,SKU037,Home Decor,Cabinet,22.08,60663.03,0,0
2026-01-02,SKU038,Kitchen,Rug,7.5,29618.25,0,0
2026-01-02,SKU039,Lighting,Organizer,3.12,22211.12,0,0
2026-01-02,SKU040,Storage,Sofa,13.88,34013.77,0,0
2026-01-02,SKU041,Furniture,Chair,10.24,105848.12,0,0
2026-01-02,SKU042,Home Decor,Table,22.58,207709.58,0,0
2026-01-02,SKU043,Kitchen,Cushion,20.39,178326.25,0,0
2026-01-02,SKU044,Lighting,Cookware,8.75,47357.45,0,0
2026-01-02,SKU045,Storage,Lamp,23.11,177410.39,0,0
2026-01-02,SKU046,Furniture,Shelf,8.63,61924.91,0,0
2026-01-02,SKU047,Home Decor,Cabinet,14.02,111293.84,0,0
2026-01-02,SKU048,Kitchen,Rug,7.74,10677.72,0,0
2026-01-02,SKU049,Lighting,Organizer,24.0,125360.88,0,0
2026-01-02,SKU050,Storage,Sofa,6.33,5587.62,0,0
2026-01-03,SKU001,Furniture,Chair,14.88,54521.06,0,0
2026-01-03,SKU002,Home Decor,Table,9.43,35887.66,0,0
2026-01-03,SKU003,Kitchen,Cushion,5.28,42653.05,0,0
2026-01-03,SKU004,Lighting,Cookware,5.21,35748.78,0,0
2026-01-03,SKU005,Storage,Lamp,17.75,168504.66,0,0
2026-01-03,SKU006,Furniture,Shelf,6.9,55931.68,0,0
2026-01-03,SKU007,Home Decor,Cabinet,26.3,134500.57,0,0
2026-01-03,SKU008,Kitchen,Rug,17.07,168013.86,0,0
2026-01-03,SKU009,Lighting,Organizer,11.71,27364.98,0,0
2026-01-03,SKU010,Storage,Sofa,17.97,11922.38,0,0
2026-01-03,SKU011,Furniture,Chair,3.19,4608.15,0,0
2026-01-03,SKU012,Home Decor,Table,27.99,245734.57,0,0
2026-01-03,SKU013,Kitchen,Cushion,14.41,82969.61,0,0
2026-01-03,SKU014,Lighting,Cookware,20.0,45415.0,0,0
2026-01-03,SKU015,Storage,Lamp,4.41,27395.45,0,0
2026-01-03,SKU016,Furniture,Shelf,14.9,32285.62,0,0
2026-01-03,SKU017,Home Decor,Cabinet,15.05,127583.67,0,0
2026-01-03,SKU018,Kitchen,Rug,27.5,153323.78,0,0
2026-01-03,SKU019,Lighting,Organizer,17.06,82226.64,0,0
2026-01-03,SKU020,Storage,Sofa,14.67,57176.91,0,0
2026-01-03,SKU021,Furniture,Chair,8.3,64003.62,0,0
2026-01-03,SKU022,Home Decor,Table,11.18,51394.8,0,0
2026-01-03,SKU023,Kitchen,Cushion,16.17,22908.69,0,0
2026-01-03,SKU024,Lighting,Cookware,13.36,23632.1,0,0
2026-01-03,SKU025,Storage,Lamp,3.19,36870.05,0,0
2026-01-03,SKU026,Furniture,Shelf,23.48,256860.4,0,0
2026-01-03,SKU027,Home Decor,Cabinet,27.95,238038.97,0,0
2026-01-03,SKU028,Kitchen,Rug,4.94,17211.4,0,0
2026-01-03,SKU029,Lighting,Organizer,16.44,191401.88,0,0
2026-01-03,SKU030,Storage,Sofa,4.97,46884.54,0,0
2026-01-03,SKU031,Furniture,Chair,18.82,164033.8,0,0
2026-01-03,SKU032,Home Decor,Table,9.37,52589.97,0,0
2026-01-03,SKU033,Kitchen,Cushion,19.05,67779.9,0,0
2026-01-03,SKU034,Lighting,Cookware,20.08,30484.25,0,0
2026-01-03,SKU035,Storage,Lamp,22.61,245775.0,0,0
2026-01-03,SKU036,Furniture,Shelf,5.1,29003.7,0,0
2026-01-03,SKU037,Home Decor,Cabinet,24.43,67119.47,0,0
2026-01-03,SKU038,Kitchen,Rug,8.1,31987.71,0,0
2026-01-03,SKU039,Lighting,Organizer,3.35,23848.48,0,0
2026-01-03,SKU040,Storage,Sofa,15.5,37983.68,0,0
2026-01-03,SKU041,Furniture,Chair,11.47,118562.29,0,0
2026-01-03,SKU042,Home Decor,Table,25.72,236593.91,0,0
2026-01-03,SKU043,Kitchen,Cushion,24.75,216457.81,0,0
2026-01-03,SKU044,Lighting,Cookware,9.71,52553.24,0,0
2026-01-03,SKU045,Storage,Lamp,26.26,201592.24,0,0
2026-01-03,SKU046,Furniture,Shelf,9.42,67593.59,0,0
2026-01-03,SKU047,Home Decor,Cabinet,15.34,121772.29,0,0
2026-01-03,SKU048,Kitchen,Rug,8.18,11284.72,0,0
2026-01-03,SKU049,Lighting,Organizer,27.04,141239.92,0,0
2026-01-03,SKU050,Storage,Sofa,7.17,6329.1,0,0
2026-01-04,SKU001,Furniture,Chair,14.76,54081.38,0,0
2026-01-04,SKU002,Home Decor,Table,9.63,36648.79,0,0
2026-01-04,SKU003,Kitchen,Cushion,5.33,43056.97,0,0
2026-01-04,SKU004,Lighting,Cookware,5.21,35748.78,0,0
2026-01-04,SKU005,Storage,Lamp,18.09,171732.35,0,0
2026-01-04,SKU006,Furniture,Shelf,6.95,56336.98,0,0
2026-01-04,SKU007,Home Decor,Cabinet,26.23,134142.58,0,0
2026-01-04,SKU008,Kitchen,Rug,17.49,172147.77,0,0
2026-01-04,SKU009,Lighting,Organizer,11.71,27364.98,0,0
2026-01-04,SKU010,Storage,Sofa,17.97,11922.38,0,0
2026-01-04,SKU011,Furniture,Chair,3.19,4608.15,0,0
2026-01-04,SKU012,Home Decor,Table,27.48,241257.09,0,0
2026-01-04,SKU013,Kitchen,Cushion,14.41,82969.61,0,0
2026-01-04,SKU014,Lighting,Cookware,19.69,44711.07,0,0
2026-01-04,SKU015,Storage,Lamp,4.41,27395.45,0,0
2026-01-04,SKU016,Furniture,Shelf,14.9,32285.62,0,0
2026-01-04,SKU017,Home Decor,Cabinet,15.05,127583.67,0,0
2026-01-04,SKU018,Kitchen,Rug,26.56,148082.89,0,0
2026-01-04,SKU019,Lighting,Organizer,17.17,82756.82,0,0
2026-01-04,SKU020,Storage,Sofa,14.67,57176.91,0,0
2026-01-04,SKU021,Furniture,Chair,8.37,64543.41,0,0
2026-01-04,SKU022,Home Decor,Table,11.16,51302.85,0,0
2026-01-04,SKU023,Kitchen,Cushion,16.16,22894.52,0,0
2026-01-04,SKU024,Lighting,Cookware,13.36,23632.1,0,0
2026-01-04,SKU025,Storage,Lamp,3.19,36870.05,0,0
2026-01-04,SKU026,Furniture,Shelf,23.26,254453.7,0,0
2026-01-04,SKU027,Home Decor,Cabinet,27.69,235824.65,0,0
2026-01-04,SKU028,Kitchen,Rug,5.21,18152.11,0,0
2026-01-04,SKU029,Lighting,Organizer,16.48,191867.58,0,0
2026-01-04,SKU030,Storage,Sofa,4.97,46884.54,0,0
2026-01-04,SKU031,Furniture,Chair,18.94,165079.71,0,0
2026-01-04,SKU032,Home Decor,Table,9.64,54105.37,0,0
2026-01-04,SKU033,Kitchen,Cushion,18.61,66214.38,0,0
2026-01-04,SKU034,Lighting,Cookware,20.16,30605.7,0,0
2026-01-04,SKU035,Storage,Lamp,22.85,248383.84,0,0
2026-01-04,SKU036,Furniture,Shelf,5.03,28605.61,0,0
2026-01-04,SKU037,Home Decor,Cabinet,25.04,68795.4,0,0
2026-01-04,SKU038,Kitchen,Rug,8.1,31987.71,0,0
2026-01-04,SKU039,Lighting,Organizer,3.35,23848.48,0,0
2026-01-04,SKU040,Storage,Sofa,15.18,37199.5,0,0
2026-01-04,SKU041,Furniture,Chair,11.47,118562.29,0,0
2026-01-04,SKU042,Home Decor,Table,24.84,228498.94,0,0
2026-01-04,SKU043,Kitchen,Cushion,23.65,206837.46,0,0
2026-01-04,SKU044,Lighting,Cookware,9.68,52390.87,0,0
2026-01-04,SKU045,Storage,Lamp,25.81,198137.69,0,0
2026-01-04,SKU046,Furniture,Shelf,9.42,67593.59,0,0
2026-01-04,SKU047,Home Decor,Cabinet,15.46,122724.88,0,0
2026-01-04,SKU048,Kitchen,Rug,8.13,11215.74,0,0
2026-01-04,SKU049,Lighting,Organizer,25.95,135546.45,0,0
2026-01-04,SKU050,Storage,Sofa,6.93,6117.25,0,0
2026-01-05,SKU001,Furniture,Chair,13.17,48255.54,0,0
2026-01-05,SKU002,Home Decor,Table,8.87,33756.47,0,0
2026-01-05,SKU003,Kitchen,Cushion,4.99,40310.37,0,0
2026-01-05,SKU004,Lighting,Cookware,4.8,32935.54,0,0
2026-01-05,SKU005,Storage,Lamp,16.98,161194.88,0,0
2026-01-05,SKU006,Furniture,Shelf,6.47,52446.08,0,0
2026-01-05,SKU007,Home Decor,Cabinet,23.07,117982.06,0,0
2026-01-05,SKU008,Kitchen,Rug,15.6,153545.18,0,0
2026-01-05,SKU009,Lighting,Organizer,10.4,24303.66,0,0
2026-01-05,SKU010,Storage,Sofa,16.69,11073.15,0,0
2026-01-05,SKU011,Furniture,Chair,2.9,4189.22,0,0
2026-01-05,SKU012,Home Decor,Table,23.16,203330.21,0,0
2026-01-05,SKU013,Kitchen,Cushion,12.92,74390.52,0,0
2026-01-05,SKU014,Lighting,Cookware,19.08,43325.91,0,0
2026-01-05,SKU015,Storage,Lamp,4.02,24972.72,0,0
2026-01-05,SKU016,Furniture,Shelf,13.46,29165.4,0,0
2026-01-05,SKU017,Home Decor,Cabinet,13.62,115461.1,0,0
2026-01-05,SKU018,Kitchen,Rug,23.01,128290.18,0,0
2026-01-05,SKU019,Lighting,Organizer,15.46,74514.88,0,0
2026-01-05,SKU020,Storage,Sofa,13.17,51330.6,0,0
2026-01-05,SKU021,Furniture,Chair,7.95,61304.68,0,0
2026-01-05,SKU022,Home Decor,Table,9.6,44131.49,0,0
2026-01-05,SKU023,Kitchen,Cushion,14.29,20245.21,0,0
2026-01-05,SKU024,Lighting,Cookware,11.7,20695.78,0,0
2026-01-05,SKU025,Storage,Lamp,2.9,33518.23,0,0
2026-01-05,SKU026,Furniture,Shelf,21.07,230496.11,0,0
2026-01-05,SKU027,Home Decor,Cabinet,24.75,210785.85,0,0
2026-01-05,SKU028,Kitchen,Rug,4.55,15852.61,0,0
2026-01-05,SKU029,Lighting,Organizer,14.85,172890.38,0,0
2026-01-05,SKU030,Storage,Sofa,4.57,43111.14,0,0
2026-01-05,SKU031,Furniture,Chair,17.89,155927.99,0,0
2026-01-05,SKU032,Home Decor,Table,8.51,47763.14,0,0
2026-01-05,SKU033,Kitchen,Cushion,17.05,60663.9,0,0
2026-01-05,SKU034,Lighting,Cookware,18.25,27706.06,0,0
2026-01-05,SKU035,Storage,Lamp,19.95,216860.29,0,0
2026-01-05,SKU036,Furniture,Shelf,4.68,26615.16,0,0
2026-01-05,SKU037,Home Decor,Cabinet,21.68,59564.07,0,0
2026-01-05,SKU038,Kitchen,Rug,7.52,29697.23,0,0
2026-01-05,SKU039,Lighting,Organizer,3.11,22139.93,0,0
2026-01-05,SKU040,Storage,Sofa,13.97,34234.32,0,0
2026-01-05,SKU041,Furniture,Chair,10.23,105744.75,0,0
2026-01-05,SKU042,Home Decor,Table,21.93,201730.34,0,0
2026-01-05,SKU043,Kitchen,Cushion,20.86,182436.76,0,0
2026-01-05,SKU044,Lighting,Cookware,8.68,46978.59,0,0
2026-01-05,SKU045,Storage,Lamp,22.39,171883.1,0,0
2026-01-05,SKU046,Furniture,Shelf,8.62,61853.15,0,0
2026-01-05,SKU047,Home Decor,Cabinet,13.65,108356.7,0,0
2026-01-05,SKU048,Kitchen,Rug,7.75,10691.51,0,0
2026-01-05,SKU049,Lighting,Organizer,22.73,118727.2,0,0
2026-01-05,SKU050,Storage,Sofa,6.29,5552.31,0,0
2026-01-06,SKU001,Furniture,Chair,13.02,47705.93,0,0
2026-01-06,SKU002,Home Decor,Table,8.91,33908.7,0,0
2026-01-06,SKU003,Kitchen,Cushion,5.32,42976.18,0,0
2026-01-06,SKU004,Lighting,Cookware,4.8,32935.54,0,0
2026-01-06,SKU005,Storage,Lamp,16.63,157872.25,0,0
2026-01-06,SKU006,Furniture,Shelf,6.5,52689.26,0,0
2026-01-06,SKU007,Home Decor,Cabinet,23.06,117930.92,0,0
2026-01-06,SKU008,Kitchen,Rug,15.29,150493.97,0,0
2026-01-06,SKU009,Lighting,Organizer,10.41,24327.02,0,0
2026-01-06,SKU010,Storage,Sofa,16.88,11199.2,0,0
2026-01-06,SKU011,Furniture,Chair,2.9,4189.22,0,0
2026-01-06,SKU012,Home Decor,Table,23.52,206490.78,0,0
2026-01-06,SKU013,Kitchen,Cushion,13.31,76636.05,0,0
2026-01-06,SKU014,Lighting,Cookware,18.82,42735.52,0,0
2026-01-06,SKU015,Storage,Lamp,4.02,24972.72,0,0
2026-01-06,SKU016,Furniture,Shelf,13.12,28428.68,0,0
2026-01-06,SKU017,Home Decor,Cabinet,13.21,111985.4,0,0
2026-01-06,SKU018,Kitchen,Rug,23.4,130464.59,0,0
2026-01-06,SKU019,Lighting,Organizer,16.0,77117.6,0,0
2026-01-06,SKU020,Storage,Sofa,12.78,49810.56,0,0
2026-01-06,SKU021,Furniture,Chair,8.06,62152.92,0,0
2026-01-06,SKU022,Home Decor,Table,9.64,44315.37,0,0
2026-01-06,SKU023,Kitchen,Cushion,14.43,20443.56,0,0
2026-01-06,SKU024,Lighting,Cookware,11.7,20695.78,0,0
2026-01-06,SKU025,Storage,Lamp,2.9,33518.23,0,0
2026-01-06,SKU026,Furniture,Shelf,20.63,225682.71,0,0
2026-01-06,SKU027,Home Decor,Cabinet,24.35,207379.21,0,0
2026-01-06,SKU028,Kitchen,Rug,4.55,15852.61,0,0
2026-01-06,SKU029,Lighting,Organizer,14.71,171260.44,0,0
2026-01-06,SKU030,Storage,Sofa,4.57,43111.14,0,0
2026-01-06,SKU031,Furniture,Chair,17.69,154184.8,0,0
2026-01-06,SKU032,Home Decor,Table,8.51,47763.14,0,0
2026-01-06,SKU033,Kitchen,Cushion,16.94,60272.52,0,0
2026-01-06,SKU034,Lighting,Cookware,18.49,28070.41,0,0
2026-01-06,SKU035,Storage,Lamp,20.22,219795.24,0,0
2026-01-06,SKU036,Furniture,Shelf,4.68,26615.16,0,0
2026-01-06,SKU037,Home Decor,Cabinet,22.12,60772.93,0,0
2026-01-06,SKU038,Kitchen,Rug,7.52,29697.23,0,0
2026-01-06,SKU039,Lighting,Organizer,3.11,22139.93,0,0
2026-01-06,SKU040,Storage,Sofa,13.89,34038.28,0,0
2026-01-06,SKU041,Furniture,Chair,10.2,105434.65,0,0
2026-01-06,SKU042,Home Decor,Table,22.22,204398.0,0,0
2026-01-06,SKU043,Kitchen,Cushion,20.98,183486.25,0,0
2026-01-06,SKU044,Lighting,Cookware,8.9,48169.29,0,0
2026-01-06,SKU045,Storage,Lamp,22.6,173495.23,0,0
2026-01-06,SKU046,Furniture,Shelf,8.62,61853.15,0,0
2026-01-06,SKU047,Home Decor,Cabinet,13.58,107801.03,0,0
2026-01-06,SKU048,Kitchen,Rug,7.66,10567.35,0,0
2026-01-06,SKU049,Lighting,Organizer,22.73,118727.2,0,0
2026-01-06,SKU050,Storage,Sofa,6.34,5596.44,0,0
2026-01-07,SKU001,Furniture,Chair,12.99,47596.01,0,0
2026-01-07,SKU002,Home Decor,Table,8.87,33756.47,0,0
2026-01-07,SKU003,Kitchen,Cushion,4.99,40310.37,0,0
2026-01-07,SKU004,Lighting,Cookware,4.8,32935.54,0,0
2026-01-07,SKU005,Storage,Lamp,16.63,157872.25,0,0
2026-01-07,SKU006,Furniture,Shelf,6.42,52040.78,0,0
2026-01-07,SKU007,Home Decor,Cabinet,22.85,116856.96,0,0
2026-01-07,SKU008,Kitchen,Rug,15.38,151379.8,0,0
2026-01-07,SKU009,Lighting,Organizer,10.4,24303.66,0,0
2026-01-07,SKU010,Storage,Sofa,16.75,11112.96,0,0
2026-01-07,SKU011,Furniture,Chair,2.9,4189.22,0,0
2026-01-07,SKU012,Home Decor,Table,24.5,215094.57,0,0
2026-01-07,SKU013,Kitchen,Cushion,13.31,76636.05,0,0
2026-01-07,SKU014,Lighting,Cookware,18.77,42621.98,0,0
2026-01-07,SKU015,Storage,Lamp,4.07,25283.33,0,0
2026-01-07,SKU016,Furniture,Shelf,12.96,28081.99,0,0
2026-01-07,SKU017,Home Decor,Cabinet,13.41,113680.86,0,0
2026-01-07,SKU018,Kitchen,Rug,23.44,130687.61,0,0
2026-01-07,SKU019,Lighting,Organizer,16.33,78708.15,0,0
2026-01-07,SKU020,Storage,Sofa,12.87,50161.34,0,0
2026-01-07,SKU021,Furniture,Chair,8.11,62538.48,0,0
2026-01-07,SKU022,Home Decor,Table,9.62,44223.43,0,0
2026-01-07,SKU023,Kitchen,Cushion,14.29,20245.21,0,0
2026-01-07,SKU024,Lighting,Cookware,11.61,20536.58,0,0
2026-01-07,SKU025,Storage,Lamp,2.9,33518.23,0,0
2026-01-07,SKU026,Furniture,Shelf,21.0,229730.34,0,0
2026-01-07,SKU027,Home Decor,Cabinet,24.27,206697.88,0,0
2026-01-07,SKU028,Kitchen,Rug,4.78,16653.95,0,0
2026-01-07,SKU029,Lighting,Organizer,15.0,174636.75,0,0
2026-01-07,SKU030,Storage,Sofa,4.62,43582.82,0,0
2026-01-07,SKU031,Furniture,Chair,18.06,157409.7,0,0
2026-01-07,SKU032,Home Decor,Table,8.58,48156.02,0,0
2026-01-07,SKU033,Kitchen,Cushion,17.43,62015.94,0,0
2026-01-07,SKU034,Lighting,Cookware,18.69,28374.04,0,0
2026-01-07,SKU035,Storage,Lamp,20.31,220773.56,0,0
2026-01-07,SKU036,Furniture,Shelf,4.68,26615.16,0,0
2026-01-07,SKU037,Home Decor,Cabinet,22.03,60525.66,0,0
2026-01-07,SKU038,Kitchen,Rug,7.51,29657.74,0,0
2026-01-07,SKU039,Lighting,Organizer,3.11,22139.93,0,0
2026-01-07,SKU040,Storage,Sofa,14.15,34675.42,0,0
2026-01-07,SKU041,Furniture,Chair,10.5,108535.66,0,0
2026-01-07,SKU042,Home Decor,Table,22.47,206697.71,0,0
2026-01-07,SKU043,Kitchen,Cushion,21.54,188383.89,0,0
2026-01-07,SKU044,Lighting,Cookware,8.78,47519.82,0,0
2026-01-07,SKU045,Storage,Lamp,23.37,179406.35,0,0
2026-01-07,SKU046,Furniture,Shelf,8.62,61853.15,0,0
2026-01-07,SKU047,Home Decor,Cabinet,13.71,108833.0,0,0
2026-01-07,SKU048,Kitchen,Rug,7.73,10663.92,0,0
2026-01-07,SKU049,Lighting,Organizer,23.79,124263.97,0,0
2026-01-07,SKU050,Storage,Sofa,6.34,5596.44,0,0
2026-01-08,SKU001,Furniture,Chair,13.08,47925.77,0,0
2026-01-08,SKU002,Home Decor,Table,8.97,34137.04,0,0
2026-01-08,SKU003,Kitchen,Cushion,5.31,42895.4,0,0
2026-01-08,SKU004,Lighting,Cookware,4.88,33484.46,0,0
2026-01-08,SKU005,Storage,Lamp,16.66,158157.05,0,0
2026-01-08,SKU006,Furniture,Shelf,6.49,52608.2,0,0
2026-01-08,SKU007,Home Decor,Cabinet,22.87,116959.24,0,0
2026-01-08,SKU008,Kitchen,Rug,15.78,155316.86,0,0
2026-01-08,SKU009,Lighting,Organizer,10.67,24934.62,0,0
2026-01-08,SKU010,Storage,Sofa,16.8,11146.13,0,0
2026-01-08,SKU011,Furniture,Chair,2.95,4261.45,0,0
2026-01-08,SKU012,Home Decor,Table,24.58,215796.91,0,0
2026-01-08,SKU013,Kitchen,Cushion,13.16,75772.38,0,0
2026-01-08,SKU014,Lighting,Cookware,19.18,43552.98,0,0
2026-01-08,SKU015,Storage,Lamp,4.02,24972.72,0,0
2026-01-08,SKU016,Furniture,Shelf,13.04,28255.33,0,0
2026-01-08,SKU017,Home Decor,Cabinet,13.46,114104.73,0,0
2026-01-08,SKU018,Kitchen,Rug,23.13,128959.23,0,0
2026-01-08,SKU019,Lighting,Organizer,16.41,79093.74,0,0
2026-01-08,SKU020,Storage,Sofa,13.23,51564.45,0,0
2026-01-08,SKU021,Furniture,Chair,8.05,62075.8,0,0
2026-01-08,SKU022,Home Decor,Table,10.04,46154.18,0,0
2026-01-08,SKU023,Kitchen,Cushion,14.17,20075.21,0,0
2026-01-08,SKU024,Lighting,Cookware,11.68,20660.4,0,0
2026-01-08,SKU025,Storage,Lamp,2.9,33518.23,0,0
2026-01-08,SKU026,Furniture,Shelf,20.83,227870.62,0,0
2026-01-08,SKU027,Home Decor,Cabinet,24.12,205420.39,0,0
2026-01-08,SKU028,Kitchen,Rug,4.78,16653.95,0,0
2026-01-08,SKU029,Lighting,Organizer,14.92,173705.35,0,0
2026-01-08,SKU030,Storage,Sofa,4.57,43111.14,0,0
2026-01-08,SKU031,Furniture,Chair,17.88,155840.83,0,0
2026-01-08,SKU032,Home Decor,Table,9.07,50906.19,0,0
2026-01-08,SKU033,Kitchen,Cushion,16.87,60023.46,0,0
2026-01-08,SKU034,Lighting,Cookware,18.71,28404.4,0,0
2026-01-08,SKU035,Storage,Lamp,20.11,218599.52,0,0
2026-01-08,SKU036,Furniture,Shelf,4.68,26615.16,0,0
2026-01-08,SKU037,Home Decor,Cabinet,22.4,61542.21,0,0
2026-01-08,SKU038,Kitchen,Rug,7.6,30013.16,0,0
2026-01-08,SKU039,Lighting,Organizer,3.11,22139.93,0,0
2026-01-08,SKU040,Storage,Sofa,14.21,34822.46,0,0
2026-01-08,SKU041,Furniture,Chair,10.69,110499.64,0,0
2026-01-08,SKU042,Home Decor,Table,22.33,205409.87,0,0
2026-01-08,SKU043,Kitchen,Cushion,21.18,185235.41,0,0
2026-01-08,SKU044,Lighting,Cookware,8.88,48061.05,0,0
2026-01-08,SKU045,Storage,Lamp,23.69,181862.92,0,0
2026-01-08,SKU046,Furniture,Shelf,8.65,62068.42,0,0
2026-01-08,SKU047,Home Decor,Cabinet,13.73,108991.76,0,0
2026-01-08,SKU048,Kitchen,Rug,7.7,10622.54,0,0
