SKU,Product_Name,Category,Subcategory,Current_Stock,On_Order,Safety_Stock,Reorder_Point,Expected_Demand_LeadTime,Projected_Stock,Avg_Daily_Forecast,Days_Of_Stock_Remaining,Risk_Tier
SKU019,Product 019,Lighting,Organizer,227,114,25,126,231.5,109.5,16.453,13.796875949674831,Reorder Soon
SKU020,Product 020,Storage,Sofa,1002,353,129,227,40.61,1314.39,13.679666666666666,73.24739881576062,Overstock Risk
SKU021,Product 021,Furniture,Chair,88,97,36,88,72.79,112.21,8.288666666666666,10.616906619480416,Healthy
SKU022,Product 022,Home Decor,Table,95,194,76,163,80.78,208.22,10.338333333333333,9.189102047396421,Healthy
SKU023,Product 023,Kitchen,Cushion,130,79,41,148,179.66,29.340000000000003,15.086666666666668,8.616880247459125,High Risk - Stockout
SKU024,Product 024,Lighting,Cookware,341,18,60,259,170.32,188.68,12.185,27.985227739023387,Reorder Soon
SKU025,Product 025,Storage,Lamp,1124,61,121,582,41.779999999999994,1143.22,2.979,377.3078214165827,Healthy
SKU026,Product 026,Furniture,Shelf,160,70,31,59,109.61000000000001,120.38999999999999,21.922,7.29860414195785,Overstock Risk
SKU027,Product 027,Home Decor,Cabinet,567,103,83,133,75.09,594.91,25.068666666666665,22.61787623327926,Overstock Risk
SKU028,Product 028,Kitchen,Rug,174,55,114,337,53.050000000000004,175.95,4.987666666666667,34.88605226224688,Reorder Soon
SKU029,Product 029,Lighting,Organizer,261,520,196,329,77.87,703.13,15.531333333333333,16.80473880757179,Overstock Risk
SKU030,Product 030,Storage,Sofa,166,32,43,104,42.050000000000004,155.95,4.766333333333334,34.82761032240016,Healthy
SKU031,Product 031,Furniture,Chair,93,40,28,113,236.9,-103.9,18.132333333333335,5.128959317609427,High Risk - Stockout
SKU032,Product 032,Home Decor,Table,278,214,60,185,99.13,392.87,9.215666666666666,30.16602162983326,Overstock Risk
SKU033,Product 033,Kitchen,Cushion,208,168,55,183,210.52,165.48,17.391000000000002,11.960209303662813,Reorder Soon
SKU034,Product 034,Lighting,Cookware,34,103,34,58,95.61,41.39,19.008666666666667,1.7886578052116577,Reorder Soon
SKU035,Product 035,Storage,Lamp,670,76,137,304,165.91,580.09,20.88533333333333,32.07992849846783,Healthy
SKU036,Product 036,Furniture,Shelf,383,135,77,129,14.47,503.53,4.856,78.87149917627677,Overstock Risk
SKU037,Product 037,Home Decor,Cabinet,355,687,315,644,181.35999999999999,860.64,23.73166666666667,14.958915654189196,Healthy
SKU038,Product 038,Kitchen,Rug,159,310,56,175,93.27,375.73,7.909666666666666,20.101984912975684,Overstock Risk
SKU039,Product 039,Lighting,Organizer,93,35,17,31,9.58,118.42,3.277,28.37961550198352,Overstock Risk
SKU040,Product 040,Storage,Sofa,67,29,36,93,129.01,-33.00999999999999,14.514666666666667,4.616020576887745,High Risk - Stockout
SKU041,Product 041,Furniture,Chair,440,40,78,139,43.43,436.57,10.932666666666668,40.24635648515153,Overstock Risk
SKU042,Product 042,Home Decor,Table,90,120,41,88,139.58,70.41999999999999,23.470666666666666,3.834573652218372,Reorder Soon
SKU043,Product 043,Kitchen,Cushion,559,211,142,393,265.94,504.06,22.593,24.742176780418713,Healthy
SKU044,Product 044,Lighting,Cookware,223,39,55,93,45.47,216.53,9.418666666666667,23.676387315968288,Overstock Risk
SKU045,Product 045,Storage,Lamp,307,142,88,142,98.36,350.64,24.79733333333333,12.380363479944082,Overstock Risk
SKU046,Product 046,Furniture,Shelf,119,182,46,96,36.14,264.86,8.888666666666666,13.387834695867399,Overstock Risk
SKU047,Product 047,Home Decor,Cabinet,201,129,44,99,127.77000000000001,202.23,14.324000000000002,14.032393186260819,Overstock Risk
SKU048,Product 048,Kitchen,Rug,106,50,22,31,23.57,132.43,7.986,13.273228149261207,Overstock Risk
SKU049,Product 049,Lighting,Organizer,780,599,206,344,123.85,1255.15,24.779,31.47826788813108,Overstock Risk
SKU050,Product 050,Storage,Sofa,328,525,69,316,92.75000000000001,760.25,6.772666666666667,48.42996357909243,Overstock Risk
