SKU,Product_Name,Category,Subcategory,Current_Stock,On_Order,Lead_Time_Days,Avg_Daily_Demand,Demand_Std,Calculated_Safety_Stock,Calculated_Reorder_Point,Expected_Demand_LeadTime,Projected_Stock,Selling_Price,Stockout_Risk_Status,Lost_Units,Projected_Lost_Revenue
SKU023,Product 023,Kitchen,Cushion,130,79,12,15.09,4.61,26.0,207.0,179.66,29.34,1416.74,Warning,0.0,0.0
SKU024,Product 024,Lighting,Cookware,341,18,14,12.18,4.54,28.0,199.0,170.32,188.68,1768.87,Warning,0.0,0.0
SKU025,Product 025,Storage,Lamp,1124,61,14,2.98,1.7,10.0,52.0,41.78,1143.22,11558.01,Overstock,0.0,0.0
SKU020,Product 020,Storage,Sofa,1002,353,3,13.68,4.25,12.0,53.0,40.61,1314.39,3897.54,Overstock,0.0,0.0
SKU026,Product 026,Furniture,Shelf,160,70,5,21.92,6.43,24.0,133.0,109.61,120.39,10939.54,Warning,0.0,0.0
SKU027,Product 027,Home Decor,Cabinet,567,103,3,25.07,6.32,18.0,93.0,75.09,594.91,8516.6,Overstock,0.0,0.0
SKU029,Product 029,Lighting,Organizer,261,520,5,15.53,4.67,17.0,95.0,77.87,703.13,11642.45,Overstock,0.0,0.0
SKU028,Product 028,Kitchen,Rug,174,55,11,4.99,2.54,14.0,69.0,53.05,175.95,3484.09,Overstock,0.0,0.0
SKU030,Product 030,Storage,Sofa,166,32,9,4.77,2.28,11.0,54.0,42.05,155.95,9433.51,Overstock,0.0,0.0
SKU032,Product 032,Home Decor,Table,278,214,11,9.22,3.52,19.0,121.0,99.13,392.87,5612.59,Overstock,0.0,0.0
SKU033,Product 033,Kitchen,Cushion,208,168,12,17.39,5.62,32.0,241.0,210.52,165.48,3558.0,Warning,0.0,0.0
SKU022,Product 022,Home Decor,Table,95,194,8,10.34,3.78,18.0,100.0,80.78,208.22,4597.03,Overstock,0.0,0.0
SKU034,Product 034,Lighting,Cookware,34,103,5,19.01,6.0,22.0,117.0,95.61,41.39,1518.14,Warning,0.0,0.0
SKU035,Product 035,Storage,Lamp,670,76,8,20.89,5.97,28.0,195.0,165.91,580.09,10870.19,Overstock,0.0,0.0
SKU037,Product 037,Home Decor,Cabinet,355,687,8,23.73,6.43,30.0,220.0,181.36,860.64,2747.42,Overstock,0.0,0.0
SKU036,Product 036,Furniture,Shelf,383,135,3,4.86,2.34,7.0,21.0,14.47,503.53,5687.0,Overstock,0.0,0.0
SKU038,Product 038,Kitchen,Rug,159,310,12,7.91,3.14,18.0,113.0,93.27,375.73,3949.1,Overstock,0.0,0.0
SKU039,Product 039,Lighting,Organizer,93,35,3,3.28,1.83,5.0,15.0,9.58,118.42,7118.95,Overstock,0.0,0.0
SKU041,Product 041,Furniture,Chair,440,40,4,10.93,3.95,13.0,57.0,43.43,436.57,10336.73,Overstock,0.0,0.0
SKU042,Product 042,Home Decor,Table,90,120,6,23.47,6.09,25.0,165.0,139.58,70.42,9198.83,Warning,0.0,0.0
SKU043,Product 043,Kitchen,Cushion,559,211,12,22.59,6.17,35.0,306.0,265.94,504.06,8745.77,Normal,0.0,0.0
SKU044,Product 044,Lighting,Cookware,223,39,5,9.42,3.53,13.0,60.0,45.47,216.53,5412.28,Overstock,0.0,0.0
SKU045,Product 045,Storage,Lamp,307,142,4,24.8,7.04,23.0,122.0,98.36,350.64,7676.78,Overstock,0.0,0.0
SKU046,Product 046,Furniture,Shelf,119,182,4,8.89,3.41,11.0,47.0,36.14,264.86,7175.54,Overstock,0.0,0.0
SKU047,Product 047,Home Decor,Cabinet,201,129,9,14.32,4.6,23.0,152.0,127.77,202.23,7938.22,Normal,0.0,0.0
SKU048,Product 048,Kitchen,Rug,106,50,3,7.99,3.41,10.0,34.0,23.57,132.43,1379.55,Overstock,0.0,0.0
SKU049,Product 049,Lighting,Organizer,780,599,5,24.78,6.29,23.0,147.0,123.85,1255.15,5223.37,Overstock,0.0,0.0
SKU050,Product 050,Storage,Sofa,328,525,14,6.77,2.81,17.0,112.0,92.75,760.25,882.72,Overstock,0.0,0.0
